"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"GND4,GND4,DOT_CK,DOT_D,ANT+,ANT-,I2C_Ck,I2S_D,I2S_CK,I2C_D,I2S_WS,GND0,SPI_NSS,SPI_CK,SPI_MI,SPI_MO,GND3,GND2,GND1";"Test_Point";19;"TEST";;;
2;"U12";"SOP50P310X90-8N";1;"SN74LVC2T45";;;
3;"Y1";"OSCCC500X320X105N";1;"Oscillator";;;
4;"U2";"QFP50P900X900X160-48N";1;"STM32L0-LQFP48";;;
5;"U1";"SOP65P640X120-17N";1;"TPS61032";;;
6;"U4";"QFN50P300X300X80-17N";1;"MAX98357";;;
7;"C1,C2,C3,C4,C5,C6,C12,C13,C14,C15,C21,C22,C24,C25,C26,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52";"C_0402";33;"0.1u";;;
8;"C7,C16,C19,C20,C27";"C_0603_HandSoldering";5;"10u";;;
9;"C8,C11";"C_0603_HandSoldering";2;"2.2u";;;
10;"C9";"C_1206_HandSoldering";1;"220u";;;
11;"C10";"C_0603_HandSoldering";1;"1u";;;
12;"C17,C18";"C_0402";2;"33p";;;
13;"C28";"C_0402";1;"1000p";;;
14;"C29,C32";"C_0402";2;"22p";;;
15;"C30,C31";"C_0402";2;"220p";;;
16;"C33,C34";"C_0402";2;"100p";;;
17;"D1,D2";"LED_0603_HandSoldering";2;"LED";;;
18;"J1,J2";"Pad_SMD_Small";2;"Pad";;;
19;"J4";"Pad_SMD_Small";1;"SPKR-";;;
20;"J5";"Pad_SMD_Small";1;"SPKR+";;;
21;"J6";"MOLEX_503182-1852";1;"503182-1852";;;
22;"L1";"L_12x12mm_h4.5mm";1;"6.8u";;;
23;"L2,L3";"L_0603_HandSoldering";2;"560n";;;
24;"R1,R2";"R_0603_HandSoldering";2;"121";;;
25;"R3,R11,R12";"R_0603_HandSoldering";3;"DNP";;;
26;"R4,R6,R7,R8,R9,R10,R13";"R_0603_HandSoldering";7;"10k";;;
27;"R5";"R_0603_HandSoldering";1;"30k";;;
28;"R14";"R_0603_HandSoldering";1;"1k";;;
29;"R15";"R_0603_HandSoldering";1;"1.6k";;;
30;"R16,R17";"R_0603_HandSoldering";2;"1.5";;;
31;"U6,U7,U8,U9,U10,U11,U13,U14,U15,U16,U17,U18,U20,U21,U22,U23";"APA102_hand_solder";16;"APA102";;;
32;"U19";"SOT-23-5";1;"MIC5225";;;
33;"J3";"Socket_Strip_Straight_2x05_Pitch2.54mm_SMD";1;"JLink_Mini";;;
34;"R18,R19";"R_0402";2;"0";;;
35;"MK1,MK2,MK3,MK4";"MountingHole_2.5mm";4;"Mounting_Hole";;;
36;"U5";"HVQFN40-6X6";1;"PN532";;;
37;"U3";"LGA16R50P5X3_300X300X100N";1;"LIS3DH";;;
